pl_name,hostname,pl_insol,pl_rade,pl_orbsmax,pl_masse,pl_eqt,habitability_score
CoRoT-32 b,CoRoT-32,0.0029416376934615,0.261712274999828,0.0142246339232257,0.0076031564337487,0.199382557242089,0.9008389616766189
EPIC 201595106 b,EPIC 201595106,0.0635151558183341,0.0540357650563111,0.0023614984497797,0.0012138345932945,0.4823771546179572,0.8946010220340914
EPIC 220674823 b,EPIC 220674823,0.0956088263963825,0.0650133941906,0.0013421145760765,0.0014262556471211,0.4888088500128634,0.881323213444474
EPIC 220674823 c,EPIC 220674823,0.0014213643043861,0.105910443906578,0.0222595155478298,0.0008991958895063,0.1438127090301003,0.9491182826448403
EPIC 229004835 b,EPIC 229004835,0.0015483135911973,0.0870547515112113,0.0259542256577585,0.0016498567564122,0.1649086699253923,0.9501101236389707
EPIC 246851721 b,EPIC 246851721,0.0142944674231314,0.493815042955762,0.0145117529618888,0.1522755497288018,0.3184975559557499,0.7925769803988083
EPIC 248847494 b,EPIC 248847494,2.0044624233340466e-07,0.522285029045991,1.0,0.6598979823430231,0.0051453563159248,0.6366772826886362
EPIC 249893012 b,EPIC 249893012,0.0230918302810975,0.0706098325727864,0.0088828843667022,0.0013863268776048,0.3738101363519424,0.9181829185074916
EPIC 249893012 c,EPIC 249893012,0.0035594575559424,0.1446550173217151,0.0273564349163459,0.00233184013975,0.2127604836634937,0.9276523243336798
EPIC 249893012 d,EPIC 249893012,0.0011763744526453,0.1562783893462562,0.0473879957533091,0.0016147194392378,0.1515307435039876,0.9327861353388658
G 9-40 b,G 9-40,0.0001356130188408,0.0684573562719455,0.0077255052961221,0.0006276802567957,0.0714175456650373,0.9712342585956344
GJ 1132 b,GJ 1132,0.0004258146341302,0.0379573977645854,0.0019163526534028,0.0002822242396105,0.1082582968870594,0.9738960815222933
GJ 1214 b,GJ 1214,0.0004636767021265,0.104705057178107,0.001738294334852,0.001293692132327,0.1113969642397736,0.9565425201989185
