pl_name,hostname,pl_insol,pl_rade,pl_orbsmax,pl_masse,pl_eqt
HATS-74 A b,HATS-74 A,106.9,11.56766808,0.02384,464.02947422,895.1
HATS-75 b,HATS-75,59.26,9.90873894,0.032742,156.05374784,772.3
HATS-76 b,HATS-76,129.8,12.09449018,0.02658,835.570882,939.8
HATS-77 b,HATS-77,78.37,13.05846252,0.03607,436.69623122,828.3
HD 110113 b,HD 110113,735.49,2.05,0.035,4.55,1371.0
HD 118203 b,HD 118203,755.3,12.73340208,0.07071,688.41632956,1494.0
HD 118203 b,HD 118203,593.4,12.06086323,0.08635,725.28442477,1360.0
HD 135694 b,HD 135694,73.7,2.51,0.12,5.7,815.0
HD 136352 b,HD 136352,111.6,1.664,0.0964,4.72,905.0
HD 136352 b,HD 136352,114.0,1.482,0.0969,4.62,911.0
HD 136352 c,HD 136352,35.1,2.916,0.1721,11.24,677.0
HD 136352 c,HD 136352,36.0,2.608,0.1729,11.29,682.0
HD 136352 d,HD 136352,5.74,2.562,0.425,8.82,431.0
HD 1397 b,HD 1397,356.0,11.500434,0.1097,131.89945,1228.3
HD 183579 b,HD 183579,58.1,3.55,0.1334,19.7,769.0
HD 18599 b,HD 18599,145.0,2.7,0.05,25.5,863.0
HD 189733 b,HD 189733,356.0,12.542871,0.03106,370.58978,1209.0
HD 191939 b,HD 191939,100.0,3.41,0.0804,10.0,880.0
HD 191939 c,HD 191939,21.0,3.195,0.1752,8.0,600.0
HD 191939 d,HD 191939,14.3,2.995,0.2132,2.8,540.0
HD 202772 A b,HD 202772 A,3440.0,17.317905,0.05208,323.23311,2132.0
HD 20329 b,HD 20329,3474.0,1.72,0.018,7.42,2141.0
HD 207496 b,HD 207496,72.9,2.25,0.0629,6.1,743.0
HD 207897 b,HD 207897,26.5,2.501,0.1163,14.4,632.2
HD 219134 b,HD 219134,176.2,1.602,0.03876,4.74,1015.0
HD 219134 c,HD 219134,62.1,1.511,0.0653,4.36,782.0
HD 219134 d,HD 219134,4.72,1.61,0.237,16.17,410.5
HD 219134 f,HD 219134,12.38,1.31,0.1463,7.3,522.6
HD 22946 d,HD 22946,18.561,2.607,0.2958,26.57,546.0
HD 23472 b,HD 23472,16.0,2.0,0.1162,8.32,543.0
HD 23472 c,HD 23472,7.96,1.87,0.1646,3.41,467.0
HD 23472 d,HD 23472,117.0,0.75,0.04298,0.55,909.0
HD 23472 e,HD 23472,46.7,0.818,0.068,0.72,723.0
HD 23472 f,HD 23472,26.3,1.137,0.0906,0.77,630.0
HD 25463 b,HD 25463,461.4,2.62,0.076,8.5,1290.0
HD 25463 c,HD 25463,1413.5,1.5,0.0435,4.1,1707.0
HD 260655 b,HD 260655,42.2,1.24,0.02933,2.14,709.0
HD 260655 c,HD 260655,16.1,1.533,0.04749,3.09,557.0
HD 3167 b,HD 3167,1650.0,1.67,0.01796,4.97,1774.0
HD 3167 c,HD 3167,16.9,3.0,0.1776,11.13,564.0
HD 332231 b,HD 332231,98.09,9.718203,0.1436,77.55052,876.0
HD 42813 b,HD 42813,74.7,3.41,0.111,9.1,716.0
HD 42813 b,HD 42813,61.0,3.48,0.107,9.6,777.0
HD 42813 b,HD 42813,54.1,3.36,0.109,5.8,755.0
HD 5278 b,HD 5278,132.0,2.45,0.1202,7.8,943.0
HD 6061 b,HD 6061,339.1,2.45,0.059,10.8,1194.0
HD 73583 b,HD 73583,43.3,2.79,0.0604,10.2,714.0
HD 73583 b,HD 73583,46.2,2.84,0.05995,15.9,742.7
