pl_name,hostname,pl_insol,pl_rade,pl_orbsmax,pl_masse,pl_eqt
TOI-1468 b,TOI-1468,36.4,1.401,0.02107,3.04,683.5
TOI-1468 c,TOI-1468,2.13,2.126,0.08608,4.1,338.1
TOI-1470 b,TOI-1470,46.3,2.18,0.0285,7.32,734.0
TOI-1470 c,TOI-1470,3.35,2.47,0.106,7.24,373.0
TOI-157 b,TOI-157,1062.0,14.414774,0.03138,375.0394,1588.0
TOI-1634 b,TOI-1634,121.0,1.79,0.01545,4.91,924.0
TOI-1685 b,TOI-1685,236.0,1.468,0.01138,3.03,1062.0
TOI-169 b,TOI-169,1443.0,12.172974,0.03524,251.40353,1715.0
TOI-1695 b,TOI-1695,39.0,1.9,0.033548,6.36,698.0
TOI-1696 b,TOI-1696,13.5,3.24,0.0235,56.6,533.0
TOI-1710 b,TOI-1710,33.0,5.15,0.164,18.4,730.0
TOI-172 b,TOI-172,299.0,10.816685,0.0914,1722.6386,1198.0
TOI-1728 b,TOI-1728,57.78,5.05,0.0391,26.78,767.0
TOI-1736 b,TOI-1736,329.6,3.05,0.074,11.9,1186.0
TOI-1759 b,TOI-1759,6.39,3.14,0.1177,10.8,443.0
TOI-1789 b,TOI-1789,2300.0,16.14093221,0.04882,222.4798849,1927.0
TOI-1803 b,TOI-1803,58.0,2.99,0.06,10.32,747.0
TOI-1803 c,TOI-1803,22.0,4.29,0.097,8.0,588.0
TOI-181 b,TOI-181,102.43,6.9559,0.0539,46.1687,895.1
TOI-1899 b,TOI-1899,2.9,12.89035,0.1587,209.7678,362.0
TOI-1899 b,TOI-1899,3.4,11.09689089,0.1525,212.94503269,378.0
TOI-1937 A b,TOI-1937 A,3230.0,13.97759893,0.01932,638.83509807,2097.0
TOI-2000 b,TOI-2000,628.0,2.7,0.04271,11.0,1488.0
TOI-2000 c,TOI-2000,149.0,8.14,0.0878,81.7,1038.0
TOI-2010 b,TOI-2010,4.09,11.81426566,0.5516,408.7273314,400.2
TOI-2015 b,TOI-2015,11.47,3.39,0.0301,16.4,512.0
TOI-2015 b,TOI-2015,13.185,3.309,0.029322,9.2,530.9
TOI-2031 A b,TOI-2031 A,567.0,14.20177855,0.066,254.2627256,1358.0
TOI-2095 b,TOI-2095,3.43,1.25,0.101,4.1,347.0
TOI-2095 c,TOI-2095,1.84,1.33,0.137,7.4,297.0
TOI-2120 b,TOI-2120,3.61,2.122,0.0377,6.8,384.0
TOI-2134 b,TOI-2134,32.0,2.69,0.078,9.13,666.0
TOI-2134 c,TOI-2134,1.4,7.27,0.371,41.89,306.0
TOI-2136 b,TOI-2136,4.4,2.09,0.054,15.0,403.0
TOI-2136 b,TOI-2136,4.0,2.19,0.057,6.37,395.0
TOI-2136 b,TOI-2136,4.82,2.2,0.0533,4.7,378.0
TOI-216.01,TOI-216,10.1,11.29,0.2069,200.0,497.0
TOI-216.02,TOI-216,25.9,7.69,0.1293,30.0,628.0
TOI-2169 A b,TOI-2169 A,577.0,12.50922246,0.0896,329.58805806,1364.0
TOI-2180 b,TOI-2180,2.71,11.32107051,0.828,875.61726129,348.0
TOI-2193 A b,TOI-2193 A,1600.0,19.83989584,0.03319,298.75870258,1763.0
TOI-2196 b,TOI-2196,2000.0,3.51,0.02234,26.0,1860.0
TOI-2207 b,TOI-2207,406.0,11.1529358,0.0854,203.41018048,1259.0
TOI-2236 b,TOI-2236,1356.0,14.36991326,0.05009,502.16888306,1688.0
TOI-2285 b,TOI-2285,1.54,1.74,0.1363,19.5,284.0
TOI-2322 b,TOI-2322,22.04,0.994,0.0924,2.31,603.1
TOI-2322 c,TOI-2322,10.15,1.874,0.1362,18.1,496.8
TOI-2346 b,TOI-2346,1360.0,16.11851425,0.0473,394.10722468,1689.0
TOI-2364 b,TOI-2364,237.0,8.60849718,0.04871,71.51139158,1091.0
TOI-2379 b,TOI-2379,25.3,11.72459381,0.05263,1830.69162432,624.0
TOI-238 b,TOI-238,728.0,1.402,0.02118,3.4,1311.0
TOI-238 c,TOI-238,58.3,2.18,0.0749,6.7,696.0
TOI-2382 b,TOI-2382,689.0,12.25141591,0.059,235.19302118,1426.0
TOI-2384 b,TOI-2384,104.3,11.48920522,0.02793,624.85064816,889.7
TOI-2406 b,TOI-2406,6.69,2.86,0.02267,15.6,449.0
TOI-2420 b,TOI-2420,1017.0,15.02003414,0.0684,294.62693329,1571.6
TOI-2421 b,TOI-2421,923.6,10.36830715,0.0543,105.83685953,1534.0
TOI-244 b,TOI-244,7.3,1.52,0.0559,2.68,458.0
TOI-2458 b,TOI-2458,865.0,2.83,0.0482,13.31,1509.4
TOI-2485 b,TOI-2485,275.6,12.1393261,0.1093,766.60211768,1134.0
TOI-2567 b,TOI-2567,558.0,10.92875618,0.0672,63.88350981,1352.0
TOI-257 b,TOI-257,186.0,7.16253867,0.1528,43.86032017,1027.0
TOI-2570 b,TOI-2570,699.0,13.64132951,0.04145,260.61929374,1431.0
TOI-2580 b,TOI-2580,1730.0,17.37392009,0.048,200.23189641,2410.0
TOI-2583 A b,TOI-2583 A,750.9,14.4595851,0.0571,79.45710175,1456.0
TOI-2587 A b,TOI-2587 A,728.0,12.07207221,0.0635,69.28659273,1445.0
TOI-2641 b,TOI-2641,602.0,18.10250383,0.0607,122.6817651,1387.0
TOI-269 b,TOI-269,19.0,2.77,0.0345,8.8,531.0
TOI-2796 b,TOI-2796,352.0,17.26183028,0.0569,139.84449908,1205.0
TOI-2803 A b,TOI-2803 A,2150.0,18.11371281,0.03185,309.88269682,1893.0
TOI-2818 b,TOI-2818,598.0,15.27784069,0.0493,225.65816897,1376.0
TOI-2842 b,TOI-2842,781.8,12.84549188,0.0475,117.59651059,1471.0
TOI-2876 b,TOI-2876,124.2,9.6397234,0.0654,54.03082919,929.0
TOI-2886 b,TOI-2886,2560.0,18.6405349,0.02871,444.9597698,1978.0
TOI-2969 b,TOI-2969,382.0,12.32987877,0.0261,368.68095212,1186.0
TOI-2977 b,TOI-2977,947.8,13.15934334,0.03386,533.95172376,1544.0
TOI-2986 b,TOI-2986,1156.0,9.292245,0.04489,96.61983573,1622.0
TOI-2989 b,TOI-2989,124.0,12.55405838,0.0384,953.485221,1001.0
TOI-2992 b,TOI-2992,1484.0,13.75341932,0.0434,1058.36859531,1726.0
TOI-3023 b,TOI-3023,1084.0,16.43236571,0.0505,197.05361234,1596.0
TOI-3135 b,TOI-3135,464.0,13.65253849,0.04756,327.36325921,1292.0
TOI-3160 A b,TOI-3160 A,933.0,13.7646283,0.0505,378.21580433,1539.0
TOI-3261 b,TOI-3261,1466.0,3.82,0.01714,30.3,1722.0
TOI-3331 A b,TOI-3331 A,818.5,12.97999965,0.03144,721.47048389,1488.0
TOI-3364 b,TOI-3364,425.0,12.22899794,0.0675,530.77343969,1264.0
TOI-3464 b,TOI-3464,1370.0,13.7646283,0.0515,397.28550875,1693.0
TOI-3474 b,TOI-3474,740.0,14.67255574,0.0502,193.87532827,1451.0
TOI-3486 b,TOI-3486,334.0,10.5700688,0.03138,99.16246298,1190.0
TOI-3523 A b,TOI-3523 A,2590.0,15.9727975,0.03559,435.42491759,1984.0
TOI-3540 A b,TOI-3540 A,841.3,23.53885947,0.04289,375.03752026,1498.0
TOI-3593 b,TOI-3593,308.0,11.02963701,0.0481,565.73456446,1170.0
TOI-3629 b,TOI-3629,43.0,8.29464572,0.04194,77.2323029,711.0
TOI-3629 b,TOI-3629,39.0,8.29464572,0.043,82.63538582,690.0
TOI-3682 b,TOI-3682,1258.0,12.80065596,0.048,69.28659273,1657.0
TOI-3688 A b,TOI-3688 A,924.3,13.08088048,0.0456,311.47183886,1534.0
TOI-3693 b,TOI-3693,68.6,12.59889431,0.0813,324.18497514,801.0
TOI-3714 b,TOI-3714,54.0,11.32107051,0.027,222.4798849,750.0
TOI-3714 b,TOI-3714,57.0,11.14172682,0.0263,218.98377242,764.0
TOI-3757 b,TOI-3757,55.4,12.0,0.03845,85.3,759.0
TOI-3785 b,TOI-3785,19.1,5.14,0.043,14.95,582.0
TOI-3807 b,TOI-3807,1230.0,18.49481816,0.0421,330.54154328,1646.0
TOI-3819 b,TOI-3819,1186.0,13.13692538,0.04611,352.78953177,1633.0
TOI-3856 b,TOI-3856,949.0,13.59649359,0.0325,171.62733978,1544.0
TOI-3877 b,TOI-3877,729.0,11.67975789,0.0529,99.7981198,1445.0
TOI-3884 b,TOI-3884,6.29,6.43,0.0361,32.59,441.0
TOI-3884 b,TOI-3884,7.42,6.0,0.0354,16.5,463.0
TOI-3912 b,TOI-3912,872.2,14.28024141,0.0463,129.03833324,1512.0
TOI-3976 A b,TOI-3976 A,469.0,12.27383387,0.0743,55.61997123,1295.0
TOI-3980 b,TOI-3980,1153.0,14.4595851,0.0494,187.51876013,1621.0
TOI-3984 A b,TOI-3984 A,16.7,7.9,0.041,44.0,563.0
TOI-4010 b,TOI-4010,714.0,3.02,0.0229,11.0,1441.0
TOI-4010 c,TOI-4010,112.0,5.93,0.058,20.31,907.0
TOI-4010 d,TOI-4010,30.0,6.18,0.113,38.15,650.0
TOI-406 c,TOI-406,19.0,1.32,0.0322,2.08,584.0
TOI-406.01,TOI-406,3.0,2.08,0.0809,6.57,368.0
TOI-4087 b,TOI-4087,753.9,13.04725353,0.04469,232.01473711,1458.0
TOI-411 b,HD 22946,495.139,1.362,0.05727,13.71,1241.0
TOI-411 c,HD 22946,156.75,2.328,0.1017,9.72,931.0
TOI-4127 b,TOI-4127,22.3,12.28504285,0.3081,731.0053361,605.1
TOI-4137 b,TOI-4137,1013.0,13.57407563,0.05222,457.67290608,1570.0
TOI-4145 A b,TOI-4145 A,223.0,13.30506009,0.04823,136.66621501,1074.0
TOI-4201 b,TOI-4201,53.0,12.66614819,0.03924,816.81900599,750.0
TOI-4201 b,TOI-4201,49.6,12.69,0.03944,825.0,739.0
TOI-4201 b,TOI-4201,45.2,13.67495645,0.04,788.21444936,725.0
TOI-421 b,TOI-421,154.57,2.68,0.056,7.17,981.4
TOI-421 c,TOI-421,34.32,5.09,0.1189,16.42,673.6
TOI-4214 b,TOI-4214,1210.0,10.68215861,0.05018,165.27077164,1642.0
TOI-4438 b,TOI-4438,6.0,2.52,0.0534,5.4,435.0
TOI-4463 A b,TOI-4463 A,633.0,13.26022417,0.04036,252.35575516,1395.0
TOI-4487 A b,TOI-4487 A,1203.0,14.60530185,0.05448,397.28550875,1639.0
TOI-4603 b,TOI-4603,1192.0,11.67975789,0.0888,4096.80816623,1677.0
TOI-4734 b,TOI-4734,775.0,10.9175472,0.074,61.65871096,1468.0
TOI-4791 b,TOI-4791,783.2,12.44196858,0.0555,734.18362017,1472.0
TOI-4794 b,TOI-4794,1310.0,14.35870428,0.0492,308.29355479,1673.0
TOI-4860 b,TOI-4860,42.5,8.7,0.01808,86.7,694.0
TOI-4961 b,TOI-4961,115.0,12.34108775,0.0726,572.0911326,919.0
TOI-4994 b,TOI-4994,40.0,8.54124329,0.1515,88.99195396,717.6
TOI-500 b,TOI-500,1138.0,1.166,0.01189,1.42,1617.0
TOI-5005 b,TOI-5005,226.0,6.25,0.06614,32.7,1040.0
TOI-5181 A b,TOI-5181 A,1053.0,13.34989601,0.0522,330.54154328,1585.0
TOI-519 b,TOI-519,54.0,11.87031056,0.01648,166.85991368,754.0
TOI-5205 b,TOI-5205,49.0,11.6,0.0199,343.0,737.0
TOI-5210 b,TOI-5210,456.0,10.72699453,0.0557,81.99972901,1286.0
TOI-5218 b,TOI-5218,62.0,9.86,0.0469,657.0,783.0
TOI-5293 A b,TOI-5293 A,34.6,11.9,0.034,170.4,675.0
TOI-5300 b,TOI-5300,198.0,9.86390302,0.0295,190.6970442,1043.0
TOI-532 b,TOI-532,94.1,5.82,0.0296,61.5,867.0
TOI-5322 b,TOI-5322,554.0,16.6117094,0.0604,184.02264765,1350.0
TOI-5340 b,TOI-5340,1004.0,15.07607904,0.0628,270.15414595,1566.0
TOI-5344 b,TOI-5344,38.0,10.60369574,0.04041,130.94530368,689.0
TOI-5344 b,TOI-5344,35.0,9.7,0.04,135.0,679.0
TOI-5386 A b,TOI-5386 A,817.0,14.70618268,0.04856,155.10026262,1488.0
TOI-5542 b,TOI-5542,9.6,11.30986153,0.332,419.53349724,441.0
TOI-5573 b,TOI-5573,12.92,9.75,0.0712,112.0,528.0
TOI-5592 b,TOI-5592,1712.0,17.14974047,0.03935,285.72773789,1789.0
TOI-561 b,TOI-561,4745.0,1.425,0.0106,2.0,2310.0
TOI-561 b,TOI-561,4709.0,1.397,0.01064,2.02,2319.0
TOI-561 c,TOI-561,67.5,2.865,0.0889,5.93,802.0
TOI-561 c,TOI-561,68.2,2.91,0.0884,5.39,800.0
TOI-561 d,TOI-561,21.4,2.82,0.158,13.2,598.0
TOI-561 d,TOI-561,21.2,2.615,0.1587,13.33,600.0
TOI-561 e,TOI-561,4.96,2.55,0.328,12.6,415.0
TOI-561 e,TOI-561,4.89,2.517,0.33,12.4,416.0
TOI-5616 b,TOI-5616,137.0,10.78,0.0272,624.0,939.0
TOI-5634 A b,TOI-5634 A,77.0,10.42,0.0272,588.0,837.0
TOI-564 b,TOI-564,1423.0,11.43318,0.02734,464.98529,1714.0
TOI-5688 A b,TOI-5688 A,50.3,10.3,0.03379,124.0,742.0
TOI-5720 b,TOI-5720,41.7,1.09,0.018288,4.3,708.0
TOI-6008 b,TOI-6008,41.5,1.03,0.010777,4.0,707.0
TOI-6016 b,TOI-6016,940.0,13.67495645,0.055,371.85923619,1890.0
TOI-6034 b,TOI-6034,43.0,11.92,0.02949,254.0,714.0
TOI-6038 A b,TOI-6038 A,716.0,6.41,0.069,78.5,1439.0
TOI-6054.01,TOI-6054,570.0,2.64,0.0763,12.5,1360.0
TOI-6054.02,TOI-6054,285.0,2.82,0.1079,9.3,1143.0
TOI-6130 b,TOI-6130,1150.0,14.3474953,0.036,333.71982735,1750.0
TOI-615 b,TOI-615,1286.0,18.97680433,0.0678,138.25535705,1666.0
TOI-622 b,TOI-622,602.0,9.2362001,0.0708,96.30200732,1388.0
TOI-6303 b,TOI-6303,14.28,11.59,0.0761,2493.0,541.0
TOI-6330 b,TOI-6330,9.97,10.89,0.05763,3179.0,495.0
TOI-6383 A b,TOI-6383 A,51.3,11.29,0.02292,331.0,745.0
TOI-654.01,TOI-654,65.0,2.378,0.01944,8.71,794.0
TOI-663 b,TOI-663,49.1,2.27,0.0295,4.45,674.0
TOI-663 c,TOI-663,22.3,2.26,0.0437,3.65,553.0
TOI-663 d,TOI-663,12.9,1.92,0.0576,5.2,482.0
TOI-6651 b,TOI-6651,817.0,5.09,0.0633,61.0,1493.0
TOI-669 b,TOI-669,388.2,2.6,0.047,9.8,1235.0
TOI-674 b,TOI-674,38.4,5.25,0.025,23.6,635.0
TOI-6894 b,TOI-6894,5.54,9.5836785,0.02604,53.39517238,417.9
TOI-7149 b,TOI-7149,20.6,13.2,0.02603,224.0,593.0
TOI-733 b,TOI-733,207.1,1.992,0.0618,5.72,1055.8
TOI-771 b,TOI-771,14.0,1.36,0.0208,2.47,543.0
TOI-776 b,TOI-776,11.5,1.85,0.0652,4.0,514.0
TOI-776 c,TOI-776,4.9,2.02,0.1,5.3,415.0
TOI-782 b,TOI-782,5.91,2.734,0.0578,19.1,435.0
TOI-815 b,TOI-815,36.9,2.94,0.0903,7.6,686.0
TOI-815 c,TOI-815,8.03,2.62,0.193,23.5,469.0
TOI-824 b,TOI-824,412.0,2.926,0.02177,18.467,1253.0
TOI-836 b,TOI-836,78.838,1.704,0.0422,4.53,871.0
TOI-836 c,TOI-836,26.707,2.587,0.075,9.6,665.0
TOI-837 b,TOI-837,164.0,9.16894621,0.0888,120.45696625,995.3
TOI-858 B b,TOI-858 B,908.9,14.06727078,0.04435,349.6112477,1529.0
TOI-905 b,TOI-905,337.0,13.125739,0.04666,211.99261,1192.0
TOI-908 b,TOI-908,80.884,3.186,0.041657,16.137,1317.0
TOI-954 b,TOI-954,1393.0,9.550068,0.04963,55.30242,1526.0
TOI-969 b,TOI-969,188.0,2.765,0.02636,9.1,941.0
TRAPPIST-1 b,TRAPPIST-1,4.25,1.086,0.01111,0.85,400.1
TRAPPIST-1 c,TRAPPIST-1,2.27,1.056,0.01521,1.38,341.9
TRAPPIST-1 d,TRAPPIST-1,1.143,0.772,0.02144,0.41,288.0
TRAPPIST-1 e,TRAPPIST-1,0.662,0.918,0.02817,0.62,251.3
TRAPPIST-1 f,TRAPPIST-1,0.382,1.045,0.0371,0.68,219.0
TRAPPIST-1 g,TRAPPIST-1,0.258,1.127,0.0451,1.34,198.6
WASP-102 b,WASP-102,1293.0,14.90794433,0.041,197.68926915,1671.0
WASP-116 b,WASP-116,663.0,13.67495645,0.065,203.41018048,1414.0
WASP-132 b,WASP-132,58.5,10.09929161,0.0674,136.0305582,682.0
WASP-132 c,WASP-132,791.0,1.841,0.01833,6.26,1329.0
WASP-149 b,WASP-149,1966.0,15.24421375,0.024,314.96795134,1855.0
WASP-151 b,WASP-151,460.0,12.66617,0.055,98.5273,1290.0
WASP-153 b,WASP-153,1400.0,17.37395,0.048,123.9537,1700.0
WASP-154 b,WASP-154,162.0,10.76062147,0.044,198.96058278,994.0
WASP-155 b,WASP-155,771.0,13.45077684,0.043,276.8285425,1468.0
WASP-156 b,WASP-156,150.0,5.71659,0.0453,40.68224,970.0
WASP-161 b,WASP-161,990.0,12.811887,0.0673,791.3967,1557.0
WASP-163 b,WASP-163,1200.0,13.473218,0.0266,594.3421,1638.0
WASP-166 b,WASP-166,440.0,7.06167,0.0641,32.10083,1270.0
WASP-170 b,WASP-170,680.0,12.285064,0.0337,508.528,1422.0
WASP-173 A b,WASP-173 A,1920.0,14.403565,0.02508,1102.8701,1842.0
WASP-174 b,WASP-174,901.9,16.10730527,0.05503,104.88337431,1528.0
WASP-178 b,WASP-178,5550.0,21.74546,0.0545,448.1403,2402.0
WASP-18 b,WASP-18,5805.0,13.89913607,0.02024,3241.8497514,2429.0
WASP-188 b,WASP-188,1278.0,14.81827249,0.072,458.6263913,1666.0
WASP-19 b,WASP-19,3320.0,15.86070769,0.01652,366.77398168,2113.0
WASP-193 b,WASP-193,413.0,16.40994774,0.0676,44.17814857,1254.0
WASP-194 b,WASP-194,1365.0,15.47960235,0.047,373.13054982,1693.0
WASP-195 b,WASP-195,890.0,10.31226224,0.063,33.05415433,1522.0
WASP-197 b,WASP-197,1276.0,14.44837612,0.065,403.32424848,1665.0
WASP-2 b,WASP-2,492.0,12.116929,0.03144,295.89973,1311.0
WASP-44 b,WASP-44,533.0,12.3299,0.03453,276.5121,1337.0
WASP-45 b,WASP-45,294.0,10.603714,0.03963,306.38812,1153.0
WASP-76 b,WASP-76,4104.0,20.78145022,0.033,284.13859586,2228.0
WASP-76 b,WASP-76,4130.0,20.68056939,0.03304,289.22385037,2231.0
WASP-77 A b,WASP-77 A,1440.0,13.78704626,0.02335,529.81995447,1715.0
WD 1856+534 b,WD 1856+534,0.181,10.4,0.0204,4386.054,163.0
Wolf 327 b,Wolf 327,233.9,1.24,0.01,2.53,996.0
Wolf 503 b,Wolf 503,64.7,2.043,0.05712,6.27,789.0
XO-7 b,XO-7,1540.0,15.389957,0.04421,225.34147,1743.0
pi Men c,HD 39091,309.0,2.042,0.06839,4.82,1169.8
