pl_name,hostname,pl_insol,pl_rade,pl_orbsmax,pl_masse,pl_eqt
CoRoT-32 b,CoRoT-32,0.002941637693461525,0.261712274999828,0.014224633923225703,0.007603156433748763,0.199382557242089
EPIC 201595106 b,EPIC 201595106,0.06351515581833414,0.054035765056311164,0.0023614984497797643,0.0012138345932945541,0.48237715461795727
EPIC 220674823 b,EPIC 220674823,0.09560882639638257,0.06501339419060001,0.0013421145760765293,0.001426255647121101,0.4888088500128634
EPIC 220674823 c,EPIC 220674823,0.0014213643043861713,0.10591044390657803,0.022259515547829803,0.0008991958895063605,0.14381270903010032
EPIC 229004835 b,EPIC 229004835,0.0015483135911973276,0.08705475151121131,0.025954225657758557,0.0016498567564122032,0.16490866992539233
EPIC 246851721 b,EPIC 246851721,0.014294467423131481,0.49381504295576206,0.01451175296188884,0.1522755497288018,0.3184975559557499
EPIC 248847494 b,EPIC 248847494,2.0044624233340466e-07,0.522285029045991,1.0,0.6598979823430231,0.005145356315924878
EPIC 249893012 b,EPIC 249893012,0.023091830281097566,0.07060983257278647,0.008882884366702204,0.0013863268776048328,0.3738101363519424
EPIC 249893012 c,EPIC 249893012,0.0035594575559424854,0.1446550173217151,0.027356434916345977,0.0023318401397500643,0.2127604836634937
EPIC 249893012 d,EPIC 249893012,0.0011763744526453435,0.1562783893462562,0.0473879957533091,0.001614719439237887,0.15153074350398765
G 9-40 b,G 9-40,0.00013561301884089998,0.06845735627194552,0.007725505296122112,0.0006276802567957365,0.07141754566503732
GJ 1132 b,GJ 1132,0.0004258146341302623,0.03795739776458543,0.0019163526534028057,0.00028222423961059577,0.10825829688705942
GJ 1214 b,GJ 1214,0.000463676702126572,0.10470505717810709,0.0017382943348520224,0.0012936921323270904,0.1113969642397736
GJ 3473 b,GJ 3473,0.0013189140027490978,0.041077857725248655,0.001958641504058617,0.0002858899897364805,0.15693336763570878
GJ 357 b,GJ 357,0.0002765935426153945,0.03905453000245817,0.0062120095884404545,0.0002826956881751791,0.09313094931824029
GJ 367 b,GJ 367,0.01289134372679765,0.01675487552574594,0.0,8.991958895063604e-05,0.30923591458708516
GJ 3929 b,GJ 3929,0.00038127102472283904,0.03358724019832216,0.004030795186193358,0.0002683213311493225,0.10419346539747877
GJ 486 b,GJ 486,0.0008935225329082061,0.04284288829193823,0.002281372206431912,0.0004392164646789505,0.13841008489837922
GJ 806 b,GJ 806,0.0028913034148311373,0.043962175968375525,0.0015513331003736998,0.0002922785928590834,0.19989709287368151
GJ 9827 b,GJ 9827,0.007011587285017786,0.05640348898723621,0.00262413446964217,0.0005350455115179942,0.25958322613841006
GJ 9827 c,GJ 9827,0.0015995387420158643,0.041293105355332746,0.007195781798433531,0.00037533043345292134,0.16670954463596604
GJ 9827 d,GJ 9827,0.0007732547875081634,0.07190131835329104,0.010218321755833079,0.00047115948029196513,0.13172112168767688
GPX-1 b,GPX-1,0.10355986067560763,0.6959989770950464,0.005944922110614278,1.0,0.5497813223565732
Gliese 12 b,Gliese 12,3.160369087456677e-05,0.025407830255126558,0.013334342330471788,0.001585970725186174,0.039104708001029075
HAT-P-19 b,HAT-P-19,0.003425826727720216,0.47306489374621247,0.008658085739531841,0.014049890852074027,0.21049652688448675
HAT-P-25 b,HAT-P-25,0.007234305332054902,0.534348582474054,0.008793855207426813,0.028872536360284633,0.26215590429637253
HAT-P-29 b,HAT-P-29,0.009639660240055756,0.5000880907383548,0.013223055881377548,0.038923460526046214,0.28505273990223823
HAT-P-32 b,HAT-P-32,0.0409983612628817,0.9420966883425866,0.00598275950330632,0.03450714536230249,0.43033187548237717
HAT-P-36 b,HAT-P-36,0.04055292516880747,0.6414729369152543,0.0037681591663309526,0.09770613822277303,0.4263442243375354
HAT-P-51 b,HAT-P-51,0.006900228261499228,0.5681255307406555,0.009644083678506802,0.015572750517133109,0.25860560843838437
HAT-P-55 b,HAT-P-55,0.012980430945612496,0.6255479464748214,0.0087226318800065,0.030242965290056465,0.30975045021867764
HAT-P-58 b,HAT-P-58,0.025519456993802134,0.6294082766838773,0.009537248687376333,0.018872279790629214,0.37535374324671983
HAT-P-59 b,HAT-P-59,0.009826743399566932,0.5285571439453549,0.009693049716108267,0.07816228275090172,0.28680216104965267
HAT-P-60 b,HAT-P-60,0.036388097689213396,0.7736881272877468,0.012392858971134521,0.029126201536318664,0.4139439156161564
