pl_insol,pl_rade,pl_orbsmax,pl_masse,pl_eqt
176.2,1.602,0.03876,4.74,3.980392156862745
62.1,1.511,0.0653,4.36,3.066666666666667
4.72,1.61,0.237,16.17,1.6098039215686275
12.38,1.31,0.1463,7.3,2.0494117647058823
18.561,2.607,0.2958,26.57,2.1411764705882352
16.0,2.0,0.1162,8.32,2.1294117647058823
7.96,1.87,0.1646,3.41,1.8313725490196078
117.0,0.75,0.04298,0.55,3.5647058823529414
46.7,0.818,0.068,0.72,2.835294117647059
26.3,1.137,0.0906,0.77,2.4705882352941178
461.4,2.62,0.076,8.5,5.0588235294117645
1413.5,1.5,0.0435,4.1,6.694117647058824
42.2,1.24,0.02933,2.14,2.780392156862745
16.1,1.533,0.04749,3.09,2.184313725490196
1650.0,1.67,0.01796,4.97,6.956862745098039
16.9,3.0,0.1776,11.13,2.211764705882353
98.09,9.718203,0.1436,77.55052,3.4352941176470586
74.7,3.41,0.111,9.1,2.8078431372549018
61.0,3.48,0.107,9.6,3.0470588235294116
54.1,3.36,0.109,5.8,2.9607843137254903
132.0,2.45,0.1202,7.8,3.6980392156862747
339.1,2.45,0.059,10.8,4.682352941176471
43.3,2.79,0.0604,10.2,2.8
46.2,2.84,0.05995,15.9,2.912549019607843
10.2,2.39,0.1242,9.7,1.9529411764705882
11.76,2.73,0.1233,22.5,2.0305882352941174
6130.0,1.613,0.01661,5.72,9.658823529411764
2898.0,1.35,0.02085,7.8,8.007843137254902
543.8,3.228,0.04813,19.2,5.270588235294118
7.42,3.89,0.262,42.44,1.5098039215686274
51.2858,2.469,0.0792,9.7,2.9537254901960788
51.4,2.53,0.07765,10.1,2.9215686274509802
373.0,1.58,0.0436,4.5,4.772549019607843
451.0,1.551,0.04518,4.5,4.403921568627451
203.0,1.538,0.0673,5.14,3.607843137254902
167.0,1.37,0.0649,5.1,3.9137254901960783
661.0,22.75427,0.01782,1021.18779,5.533333333333333
88.9,2.56,0.092,7.8,3.3529411764705883
39.9,2.48,0.138,9.4,2.7411764705882353
36.8,3.75,0.144,8.4,2.6862745098039214
40.3,3.9,0.1438,10.0,2.6015686274509804
11.7,3.343,0.2669,18.3,1.9094117647058824
10.7,3.34,0.268,7.9,1.9725490196078432
1915.0,3.88,0.0301,21.8,7.219607843137255
762.0,5.28,0.0573,59.4,5.670588235294118
27.7,2.592,0.10207,15.9,2.5019607843137255
490.0,1.82,0.0565,5.58,5.133333333333334
40.0,10.44677001,0.0943,638.83509807,2.7490196078431373
185.0,2.44,0.0792,5.2,4.023529411764706
4070.0,1.69,0.00936,7.9,8.717647058823529
33.5,1.014,0.0707,4.3,2.392156862745098
11.91,3.0,0.1185,18.1,1.8431372549019607
7.07,1.565,0.1538,3.0,1.6470588235294117
204.0,13.56286665,0.068,295.58041851,3.772549019607843
188.5,12.273855,0.0591,323.86877,4.368627450980392
3260.0,1.51,0.00747,4.97,8.24705882352941
39.1,7.0,0.0683,8.0,2.7254901960784315
6660.0,0.935,0.00962,1.14,9.537254901960784
317.0,2.3,0.091,6.5,4.603921568627451
1.005,2.61,0.1591,8.63,0.9996078431372549
67.0,2.24179614,0.075,11.44182265,2.8588235294117648
146.9,2.69,0.0526,20.0,3.8
116.2,1.73,0.0382,6.9,3.5803921568627453
38.6,2.85,0.0662,12.4,2.7215686274509805
248.0,1.75,0.028,8.0,4.325490196078431
96.0,2.35,0.1206,8.7,3.4156862745098038
269.0,1.315,0.03293,2.4,4.419607843137255
66.2,1.272,0.0664,4.6,3.1137254901960785
12.7,2.363,0.1516,10.3,2.0588235294117645
1860.0,16.19697711,0.03558,433.20011874,7.1686274509803924
60.0,5.68,0.154,21.0,3.007843137254902
24.0,7.82,0.247,27.0,2.376470588235294
9.91,3.44,0.0287,24.5,1.9372549019607843
180.0,9.52763359,0.1034,59.75174052,4.101960784313725
180.0,9.50521563,0.1087,67.69745069,4.03921568627451
8.17,2.41,0.2573,14.9,1.8431372549019607
13.95,2.93,0.1035,8.9,2.1109803921568626
9.581,2.73,0.1249,14.3,1.9219607843137256
116.0,4.48,0.06702,30.9,3.537254901960784
234.31,2.59,0.03817,9.68,4.270196078431373
50.35,3.53,0.0824,15.68,2.9074509803921567
24.61,2.48,0.1178,6.5,2.4309803921568625
10.5,1.95,0.18041,10.7,1.964313725490196
67.0,2.63,0.13,24.5,3.1176470588235294
10.5,2.078,0.0747,5.11,1.9658823529411764
11.6,2.25,0.0778,6.47,2.011764705882353
3.51,1.69,0.1414,3.3,1.4941176470588236
3.17,1.582,0.1357,2.68,1.4580392156862745
1.44,1.458,0.2014,2.2,1.1968627450980391
1.6,1.62,0.2097,1.6,1.223529411764706
77.7,5.13,0.08036,16.5,3.203921568627451
25.6,3.01,0.1399,12.1,2.4274509803921567
14.5,3.43,0.1862,10.3,2.1058823529411765
45.7,8.675766,0.1016,82.6358,2.549019607843137
529.0,1.43,0.0223,3.9,4.8
519.0,1.43,0.02288,4.3,5.207843137254902
90.0,3.2,0.054,7.8,3.0901960784313727
89.0,3.2,0.05528,7.9,3.3490196078431373
490.0,1.655,0.0503,7.7,5.137254901960785
426.0,1.54,0.04994,7.3,4.964705882352941
465.9,1.55,0.0506,12.0,4.643137254901961
135.3,2.49,0.0959,7.4,3.7215686274509805
128.3,2.42,0.0964,9.9,3.364705882352941
117.0,2.29,0.09514,8.3,3.592156862745098
1356.0,5.71,0.0574,39.8,6.549019607843137
4.82,1.015,0.027,7.5,1.6172549019607843
3.3,10.55,0.1208,196.0,1.4784313725490197
840.0,2.49,0.05983,21.3,5.3803921568627455
181.0,4.09,0.0988,9.2,4.007843137254902
600.0,15.681391,0.0525,215.80657,5.4
1433.0,15.35633,0.06229,61.97685,6.713725490196079
1749.0,19.95202,0.06708,301.9385,7.0588235294117645
3152.0,17.59813,0.0455,375.0394,8.176470588235293
2340.0,21.40919,0.0637,1293.5681,7.588235294117647
4362.5,19.514869,0.0542,1074.90106,8.870588235294118
2950.0,17.777474,0.05224,1242.7153,8.04313725490196
991.183,14.829507,0.03302,298.12454,6.12156862745098
750.9,14.257848,0.06969,1646.3594,5.7215686274509805
624.0,12.71098411,0.0665,1458.83238813,5.454901960784314
1840.0,19.044091,0.04317,286.68266,7.149019607843138
44900.0,21.196219,0.03462,915.3504,15.882352941176471
45.0,12.03844527,0.363,346.43296363,2.5843137254901962
320.0,0.51,0.008,99.2,4.627450980392157
729.0,11.54527,0.0269,346.4347,5.7215686274509805
3820.0,1.47,0.01685,3.26,8.580392156862745
18.68,2.355,0.241,11.4,2.2666666666666666
90.0,0.46,0.05521,1.1,3.3607843137254902
61.0,0.567,0.06702,1.7,3.0470588235294116
36.9,1.154,0.08618,3.0,2.6901960784313728
20.3,2.17,0.1162,4.7,2.3137254901960786
10.0,0.861,0.1656,4.3,1.9411764705882353
149.9,3.486,0.13223,9.8,3.815686274509804
