pl_name,hostname,pl_eqt,pl_rade,pl_orbsmax,pl_masse,st_teff,st_lum
K2-3 d,K2-3,305.2,1.458,0.2014,2.2,3844.0,-1.23136
K2-30 b,K2-30,1203.0,11.982421,0.0419,187.20187,5575.0,-0.27003
K2-30 b,K2-30,1185.0,13.405964,0.04986,198.00809,5581.0,-0.112
K2-30 b,K2-30,1092.0,11.646151,0.04839,184.02357,5425.0,-0.25649
K2-329 b,K2-329,650.0,8.675766,0.1016,82.6358,5282.0,-0.32514
K2-33 b,K2-33,850.0,5.76,0.0409,1144.188,3410.0,-0.83
K2-34 b,K2-34,1715.0,15.434793,0.0465,539.67534,6149.0,0.4843
K2-34 b,K2-34,1742.0,15.13215,0.04419,559.3808,6132.0,0.471
K2-36 b,K2-36,1224.0,1.43,0.0223,3.9,4916.0,-0.57
K2-36 c,K2-36,788.0,3.2,0.054,7.8,4916.0,-0.57
K2-38 b,K2-38,1266.0,1.54,0.04994,7.3,5731.0,0.03743
K2-38 c,K2-38,916.0,2.29,0.09514,8.3,5731.0,0.03743
K2-415 b,K2-415,412.4,1.015,0.027,7.5,3173.0,-2.45469
K2-416 b,K2-416,447.0,2.66,0.088,1652.7077164,3746.0,-1.27003
K2-417 b,K2-417,558.0,3.31,0.063,699.2224954,3861.0,-1.20204
K2-419 A b,K2-419 A,377.0,10.55,0.1208,196.0,3711.0,-1.27654
K2-97 b,K2-97,1566.0,13.45077684,0.0854,174.48779544,4673.0,0.86688
K2-98 b,K2-98,1185.0,5.06645928,0.0986,34.00763955,6260.0,0.50379
K2-99 b,K2-99,1184.0,11.88151954,0.153,276.51071409,6069.0,0.89927
KELT-10 b,KELT-10,1377.0,15.681391,0.0525,215.80657,5948.0,0.21748
KELT-11 b,KELT-11,1712.0,15.35633,0.06229,61.97685,5370.0,0.74429
KELT-12 b,KELT-12,1800.0,19.95202,0.06708,301.9385,6279.0,0.89209
KELT-14 b,KELT-14,1904.0,17.03768,0.02956,380.12468,5802.0,0.27875
KELT-15 b,KELT-15,1642.0,16.174587,0.04613,289.2253,6003.0,0.41162
KELT-16 b,KELT-16,2453.0,15.860735,0.02044,874.0325,6236.0,0.4014
KELT-17 b,KELT-17,2087.0,17.093725,0.04881,416.3573,7454.0,0.87564
KELT-18 b,KELT-18,2085.0,17.59813,0.0455,375.0394,6670.0,0.81291
KELT-19 A b,KELT-19 A,1935.0,21.40919,0.0637,1293.5681,7500.0,0.97772
KELT-20 b,KELT-20,2262.0,19.514869,0.0542,1074.90106,8720.0,1.1038
KELT-21 b,KELT-21,2051.0,17.777474,0.05224,1242.7153,7598.0,0.90472
KELT-23 A b,KELT-23 A,1561.0,14.829507,0.03302,298.12454,5899.0,0.03383
KELT-24 b,KELT-24,1459.0,14.257848,0.06969,1646.3594,6509.0,0.56467
KELT-24 b,KELT-24,1391.0,12.71098411,0.0665,1458.83238813,6426.0,0.43933
KELT-3 b,KELT-3,1816.0,15.076,0.04122,469.415,6306.0,0.489
KELT-4 A b,KELT-4 A,1823.0,19.044091,0.04317,286.68266,6206.0,0.53529
KELT-6 b,KELT-6,1313.0,13.372,0.07939,136.661,6102.0,0.493
KELT-7 b,KELT-7,2048.0,17.183397,0.04415,406.8224,6789.0,0.758
KELT-9 b,KELT-9,4050.0,21.196219,0.03462,915.3504,10170.0,1.72428
KOI-134 b,KOI-134,659.0,12.03844527,0.363,346.43296363,6160.0,0.62325
KOI-94 b,KOI-94,1486.0,1.71,0.05119,10.5,6182.0,0.479
KOI-94 c,KOI-94,1012.0,4.32,0.1013,15.6,6182.0,0.479
KOI-94 d,KOI-94,806.0,11.27,0.1684,106.0,6182.0,0.479
KOI-94 e,KOI-94,584.0,6.56,0.3046,35.0,6182.0,0.479
Kepler-10 b,Kepler-10,1833.0,1.416,0.01684,4.56,5627.0,0.002
Kepler-10 c,Kepler-10,485.0,2.227,0.2407,20.0,5627.0,0.00173
Kepler-111 c,Kepler-111,352.2,7.0840758,0.751,222.4798849,5914.0,0.15836
Kepler-138 b,Kepler-138,452.0,0.64,0.0753,0.07,3841.0,-1.25181
Kepler-138 c,Kepler-138,410.0,1.51,0.0913,2.3,3841.0,-1.25181
Kepler-138 d,Kepler-138,345.0,1.51,0.1288,2.1,3841.0,-1.25181
Kepler-1514 b,Kepler-1514,387.9,12.419572,0.753,1678.1424,6145.0,0.32838
Kepler-1654 b,Kepler-1654,206.0,9.180171,2.026,158.915,5597.0,0.08991
Kepler-167 e,Kepler-167,134.4,10.16,1.883,321.00669107,4884.0,-0.5391
Kepler-17 b,Kepler-17,1570.0,14.68,0.02591,778.65,5781.0,0.01164
Kepler-1704 b,Kepler-1704,253.8,11.94877343,2.027,1322.16617312,5746.0,0.45179
Kepler-20 b,Kepler-20,1014.0,1.91,0.04537,8.7,5455.0,-0.14874
Kepler-20 c,Kepler-20,713.0,3.07,0.093,16.1,5455.0,-0.14874
Kepler-20 d,Kepler-20,369.0,2.75,0.3453,20.1,5455.0,-0.14874
Kepler-21 b,Kepler-21,2025.0,1.639,0.0427172,5.08,6305.0,0.715
Kepler-22 b,Kepler-22,262.0,2.38,0.849,36.0,5518.0,-0.102
Kepler-278 b,Kepler-278,586.0,3.955,0.202,56.0,4965.0,0.64933
Kepler-278 c,Kepler-278,492.0,3.268,0.287,34.9,4965.0,0.64933
Kepler-36 b,Kepler-36,978.0,1.486,0.1153,4.45,5911.0,0.462
Kepler-36 c,Kepler-36,928.0,3.679,0.1283,8.08,5911.0,0.462
Kepler-391 b,Kepler-391,930.0,2.5,0.083,1100.0,5038.0,0.66276
Kepler-391 c,Kepler-391,662.0,2.88,0.164,450.0,5038.0,0.66276
Kepler-4 b,Kepler-4,1650.0,4.002,0.0456,24.472,5857.0,0.354
Kepler-425 b,Kepler-425,1070.0,10.962,0.0464,79.45,5170.0,-0.323
Kepler-426 b,Kepler-426,1300.0,12.22,0.0414,108.06,5725.0,-0.089
Kepler-427 b,Kepler-427,1100.0,13.79,0.091,92.17,5800.0,0.29
Kepler-428 b,Kepler-428,1070.0,12.11,0.0433,403.63,5150.0,-0.39
Kepler-433 b,Kepler-433,1776.0,16.25,0.0679,896.24,6360.0,0.88
Kepler-434 b,Kepler-434,1000.0,12.67,0.1143,908.96,5977.0,0.33
Kepler-435 b,Kepler-435,1729.0,22.31,0.0948,266.97,6161.0,1.129
Kepler-46 b,Kepler-46,543.0,9.057,0.1968,1907.0,5155.0,-0.255
Kepler-5 b,Kepler-5,1868.0,16.04,0.05064,671.864,6297.0,0.669
Kepler-553 b,Kepler-553,1089.0,4.74139884,0.04766,116.00736855,5191.0,-0.27084
Kepler-553 c,Kepler-553,251.0,11.57887706,0.898,2129.4503269,5191.0,-0.27084
Kepler-6 b,Kepler-6,1500.0,14.83,0.04567,212.619,5647.0,0.299
Kepler-62 b,Kepler-62,750.0,1.31,0.0553,9.0,4925.0,-0.678
Kepler-62 c,Kepler-62,578.0,0.54,0.0929,4.0,4925.0,-0.678
Kepler-62 d,Kepler-62,510.0,1.95,0.12,14.0,4925.0,-0.678
Kepler-62 e,Kepler-62,270.0,1.61,0.427,36.0,4925.0,-0.678
Kepler-62 f,Kepler-62,208.0,1.41,0.718,35.0,4925.0,-0.678
Kepler-68 b,Kepler-68,1280.0,2.31,0.0617,8.3,5793.0,0.194
Kepler-7 b,Kepler-7,1540.0,16.567,0.06224,137.615,5933.0,0.618
Kepler-8 b,Kepler-8,1764.0,15.906,0.0483,191.643,6213.0,0.605
Kepler-849 b,Kepler-849,362.7,8.08167508,1.137,298.75870258,5950.0,0.57287
Kepler-93 b,Kepler-93,1037.0,1.478,0.053,4.02,5655.0,-0.10565
L 168-9 b,L 168-9,965.0,1.39,0.02091,4.6,3800.0,-1.17198
L 168-9 b,L 168-9,998.0,1.63,0.0208,4.07,3842.0,-1.14086
L 98-59 b,L 98-59,620.0,0.837,0.0223,0.46,3415.0,-1.91364
L 98-59 b,L 98-59,627.0,0.85,0.02191,0.4,3415.0,-1.94769
L 98-59 c,L 98-59,553.0,1.385,0.0304,2.22,3415.0,-1.94769
L 98-59 c,L 98-59,526.0,1.329,0.0309,2.0,3415.0,-1.91364
L 98-59 d,L 98-59,416.0,1.521,0.0486,1.94,3415.0,-1.94769
L 98-59 d,L 98-59,416.0,1.627,0.0494,1.64,3415.0,-1.91364
LHS 1140 b,LHS 1140,230.0,1.43,0.0875,6.65,3131.0,-2.52564
LHS 1140 b,LHS 1140,226.0,1.73,0.0946,5.6,3096.0,-2.42022
LHS 1140 b,LHS 1140,378.9,1.635,0.0957,6.38,2988.0,-2.48812
LHS 1140 b,LHS 1140,235.0,1.727,0.0936,6.98,3216.0,-2.35556
LHS 1140 c,LHS 1140,708.9,1.169,0.02734,1.76,2988.0,-2.48812
LHS 1140 c,LHS 1140,422.0,1.272,0.027,1.91,3096.0,-2.42022
LHS 1140 c,LHS 1140,438.0,1.282,0.02675,1.81,3216.0,-2.35556
LHS 1478 b,LHS 1478,595.0,1.242,0.01848,2.33,3381.0,-2.14569
LHS 1815 b,LHS 1815,617.0,1.088,0.0404,8.7,3643.0,-1.38722
LP 714-47 b,LP 714-47,700.0,4.7,0.0417,30.8,3950.0,-1.12494
LP 791-18 c,LP 791-18,324.4,2.438,0.02961,7.1,2960.0,-2.63827
LP 791-18 d,LP 791-18,395.5,1.032,0.01992,0.9,2960.0,-2.63827
LP 890-9 b,LP 890-9,396.0,1.32,0.01875,13.2,2850.0,-2.84134
LP 890-9 c,LP 890-9,272.0,1.367,0.03984,25.3,2850.0,-2.84134
LTT 3780 b,LTT 3780,1000.0,1.35,0.01203,2.34,3360.0,-1.77728
LTT 3780 b,LTT 3780,903.0,1.325,0.01195,2.46,3358.0,-1.78252
LTT 3780 c,LTT 3780,359.0,2.39,0.0757,8.04,3358.0,-1.78252
LTT 3780 c,LTT 3780,397.0,2.42,0.0762,6.29,3360.0,-1.77728
LTT 9779 b,LTT 9779,1978.0,4.72,0.01679,29.32,5443.0,-0.16749
MASCARA-1 b,MASCARA-1,2570.0,16.8135,0.043,1175.971,7554.0,1.17551
MASCARA-4 b,MASCARA-4,2100.0,17.14977,0.047,985.273,7800.0,1.08743
NGTS-13 b,NGTS-13,1605.0,12.800678,0.0549,1538.2972,5819.0,0.5172
NGTS-23 b,NGTS-23,1327.0,14.20177855,0.0504,194.82881349,6057.0,0.2833
NGTS-24 b,NGTS-24,1499.0,13.60770257,0.0479,165.27077164,5820.0,0.44592
NGTS-25 b,NGTS-25,1101.0,11.46678726,0.0388,203.09235207,5321.0,-0.29158
NGTS-26 b,NGTS-26,1331.0,14.88552637,0.049,92.80589484,5550.0,0.10106
NGTS-27 b,NGTS-27,1783.0,15.64773706,0.0446,188.47224535,5700.0,0.51375
NGTS-33 b,NGTS-33,1991.0,18.38272835,0.048,1153.71711741,7437.0,0.77159
NGTS-6 b,NGTS-6,1283.9,14.863134,0.01677,425.57437,4730.0,-0.59176
OGLE-TR-132 b,OGLE-TR-132,2013.0,13.45,0.03035,375.02,6210.0,0.371
OGLE-TR-56 b,OGLE-TR-56,2212.0,15.278,0.02383,441.77,6050.0,0.35
PDS 70 b,PDS 70,1200.0,14.5717,22.0,2542.64,3972.0,-0.45593
PH2 b,PH2,295.1,9.33708092,0.833,87.08498352,5734.0,-0.05849
Qatar-1 b,Qatar-1,1418.0,12.811887,0.02332,411.27202,5013.0,-0.43771
Qatar-10 b,Qatar-10,1955.0,17.295487,0.0286,233.92288,6124.0,0.29951
Qatar-3 b,Qatar-3,1681.0,12.285064,0.03783,1369.8473,6007.0,0.27875
Qatar-4 b,Qatar-4,1385.0,12.722215,0.02803,1938.763,5215.0,-0.31785
Qatar-5 b,Qatar-5,1415.0,12.408363,0.04127,1373.0256,5747.0,0.05614
Qatar-6 b,Qatar-6,1006.0,11.903958,0.0423,212.31044,5052.0,-0.51428
Qatar-7 b,Qatar-7,2053.0,19.0553,0.0352,597.5204,6387.0,0.56348
Qatar-8 b,Qatar-8,1457.0,14.403565,0.0474,117.91493,5738.0,0.22789
Qatar-9 b,Qatar-9,1134.0,11.309881,0.0234,378.2177,4309.0,-0.82102
Ross 176 b,Ross 176,682.0,1.84,0.0464,4.57,4041.0,-1.10891
TIC 139270665 b,TIC 139270665,703.0,7.22979255,0.163,147.15455244,5844.0,0.03222
TIC 237913194 b,TIC 237913194,974.0,12.520453,0.1207,617.22586,5788.0,0.07773
TIC 393818343 b,TIC 393818343,805.5,12.18416202,0.1291,1379.37528638,5756.0,0.06744
TIC 46432937 b,TIC 46432937,872.0,13.31626907,0.02065,1017.0509024,3572.0,-1.3851
TIC 4672985 b,TIC 4672985,517.2,11.5004142,0.33,4049.13390518,5757.0,0.11394
TOI-1064 b,TOI-1064,784.0,2.587,0.06152,13.5,4734.0,-0.62342
TOI-1064 c,TOI-1064,634.0,2.651,0.09429,2.5,4734.0,-0.62342
TOI-1107 b,TOI-1107,1728.0,14.57167491,0.0561,1064.72516345,6311.0,0.67117
TOI-1117 b,TOI-1117,1538.0,2.46,0.033,8.9,5635.0,-0.4437
TOI-1130 c,TOI-1130,637.0,16.8135,0.07098,309.56642,4250.0,-0.85387
TOI-1135 b,TOI-1135,1198.9,9.02,0.082,51.42,6122.0,0.23096
TOI-1136 b,TOI-1136,1216.0,1.9,0.0514,31.0,5805.0,-0.02687
TOI-1136 c,TOI-1136,965.39,2.76948277,0.067,7.6,5805.0,-0.02687
TOI-1136 d,TOI-1136,766.21,4.62115423,0.107,12.3,5805.0,-0.02687
TOI-1136 e,TOI-1136,669.11,2.5456702,0.14,24.0,5805.0,-0.02687
TOI-1136 f,TOI-1136,598.11,3.73591482,0.175,32.0,5805.0,-0.02687
TOI-1136 g,TOI-1136,574.0,2.53,0.23,12.2,5805.0,-0.02687
TOI-1173 b,TOI-1173,868.95,9.01941098,0.071,28.3,5415.0,-0.16877
TOI-1174 b,TOI-1174,713.83,2.5064654,0.08,32.0,5158.0,-0.4034
TOI-1180 b,TOI-1180,638.18,3.03617429,0.082,10.0,4804.0,-0.57675
TOI-1181 b,TOI-1181,1942.12,16.1966394,0.0364,377.0,6046.0,0.65312
TOI-1184 b,TOI-1184,715.47,2.40974309,0.056,6.8,4617.0,-0.70115
TOI-1194 b,TOI-1194,1391.0,8.5972882,0.03428,144.92975359,5446.0,-0.13549
TOI-1194 b,TOI-1194,1264.29,8.71664516,0.034,120.0,5394.0,-0.1512
TOI-1199 b,TOI-1199,1486.0,10.5140239,0.04988,75.96098927,5710.0,0.30428
TOI-1201 b,TOI-1201,703.0,2.415,0.0287,6.28,3476.0,-1.46852
TOI-1231 b,TOI-1231,329.6,3.65,0.1288,15.4,3553.0,-1.48678
TOI-1235 b,TOI-1235,754.0,1.738,0.03845,6.91,3872.0,-1.09691
TOI-1235 b,TOI-1235,775.0,1.694,0.03826,5.9,3997.0,-1.05404
TOI-1238 b,TOI-1238,1133.0,1.21,0.0139,3.76,4089.0,-1.08249
TOI-1238 c,TOI-1238,695.0,2.11,0.037,8.32,4089.0,-1.08249
TOI-1244 b,TOI-1244,714.86,2.37611439,0.061,6.6,4722.0,-0.62893
TOI-1246 c,TOI-1246,862.49,2.45109846,0.061,9.1,5213.0,-0.30103
TOI-1246 d,TOI-1246,587.77,3.43139739,0.132,5.4,5213.0,-0.30103
TOI-1246 e,TOI-1246,463.98,3.5141875,0.212,14.5,5213.0,-0.30103
TOI-1248 b,TOI-1248,952.09,6.8084859,0.051,27.4,5205.0,-0.30016
TOI-1249 b,TOI-1249,726.89,3.2710301,0.109,11.9,5497.0,-0.10127
TOI-125 b,TOI-125,1037.0,2.726,0.05186,9.5,5320.0,-0.28483
TOI-125 c,TOI-125,827.8,2.759,0.0814,6.63,5320.0,-0.28483
TOI-125 d,TOI-125,638.1,2.93,0.137,13.6,5320.0,-0.28483
TOI-1260 b,TOI-1260,871.0,2.41,0.0367,8.56,4227.0,-0.88941
TOI-1260 b,TOI-1260,860.0,2.34,0.0366,8.6,4227.0,-0.85699
TOI-1260 c,TOI-1260,643.0,2.82,0.0656,11.8,4227.0,-0.85699
TOI-1260 c,TOI-1260,651.0,2.76,0.0657,13.2,4227.0,-0.88941
TOI-1260 d,TOI-1260,499.0,3.12,0.1116,11.84,4227.0,-0.88941
TOI-1266 b,TOI-1266,410.0,2.458,0.0745,15.9,3573.0,-1.58021
TOI-1266 b,TOI-1266,415.0,2.52,0.073,4.46,3563.0,-1.58021
TOI-1266 b,TOI-1266,425.0,2.62,0.0728,4.23,3618.0,-1.5376
TOI-1266 c,TOI-1266,346.0,1.98,0.105,3.17,3563.0,-1.58021
TOI-1266 c,TOI-1266,354.0,2.13,0.1047,2.88,3618.0,-1.5376
TOI-1266 c,TOI-1266,347.1,1.673,0.1037,6.4,3573.0,-1.58021
TOI-1269 b,TOI-1269,1004.9,2.40144286,0.0496,6.4,5499.0,-0.21968
TOI-1272 b,TOI-1272,975.0,4.13204907,0.0417,27.0,5065.0,-0.42597
TOI-1273 b,TOI-1273,1211.0,11.09689089,0.0549,70.55790635,5690.0,0.02938
TOI-1279 b,TOI-1279,759.0,2.66146528,0.085,10.6,5457.0,-0.24336
TOI-1288 b,TOI-1288,1203.44,4.96846551,0.0374,44.1,5388.0,-0.1549
TOI-1294 b,TOI-1294,1392.74,10.12369881,0.051,63.9,5718.0,0.36847
TOI-1295 b,TOI-1295,2360.0,15.69257298,0.047,451.31633794,6280.0,0.58659
TOI-1296 b,TOI-1296,1562.0,13.79825524,0.0497,94.71286529,5603.0,0.39005
TOI-1296 b,TOI-1296,1414.84,14.11645916,0.051,95.3,5567.0,0.40157
TOI-1298 b,TOI-1298,1278.0,9.65807033,0.057,99.0,5752.0,0.32056
TOI-1298 b,TOI-1298,1388.0,9.42675277,0.059,113.14691289,5889.0,0.33365
TOI-132 b,TOI-132,1395.0,3.42,0.026,22.4,5397.0,-0.22185
TOI-1333 b,TOI-1333,1679.0,15.647764,0.0626,753.2571,6274.0,0.71349
TOI-1347 b,TOI-1347,1698.5,1.81434694,0.0171,12.2,5493.0,-0.23582
TOI-1347 c,TOI-1347,950.08,1.67761121,0.0546,9.0,5493.0,-0.23582
TOI-1386 b,TOI-1386,615.03,6.2163865,0.173,45.8,5735.0,0.0103
TOI-1386 b,TOI-1386,676.4,6.05284958,0.1732,47.03860424,5793.0,0.01662
TOI-1410.01,TOI-1410,1236.7,3.10083009,0.0207,12.5,4635.0,-0.6216
TOI-1411 b,TOI-1411,976.4,1.19880592,0.02122,2.0,4115.0,-1.01323
TOI-1420 b,TOI-1420,957.0,11.89,0.071,25.1,5510.0,-0.15181
TOI-1422 b,TOI-1422,789.51,3.93681551,0.108,12.1,5811.0,0.03302
TOI-1422 b,TOI-1422,867.0,3.96,0.108,9.0,5840.0,0.04766
TOI-1431 b,TOI-1431,2370.0,16.70138124,0.046,991.62462984,7690.0,1.06819
TOI-1437 b,TOI-1437,794.23,2.43471042,0.139,10.4,5986.0,0.26435
TOI-1438 b,TOI-1438,971.0,3.04,0.0553,9.4,5230.0,-0.34679
TOI-1438 c,TOI-1438,794.0,2.75,0.083,10.6,5230.0,-0.34679
TOI-1439 b,TOI-1439,748.4,4.2427861,0.192,38.5,5841.0,0.44091
TOI-1443 b,TOI-1443,520.66,2.30381001,0.147,30.0,5224.0,-0.42022
TOI-1444 b,TOI-1444,2130.02,1.41792246,0.0116,3.58,5460.0,-0.17587
TOI-1448 b,TOI-1448,426.0,2.749,0.0567,19.5,3412.0,-1.75498
TOI-1451 b,TOI-1451,723.33,2.61143902,0.127,15.2,5801.0,0.02449
TOI-1452 b,TOI-1452,326.0,1.672,0.061,4.82,3185.0,-2.1549
TOI-1467 b,TOI-1467,506.07,1.6759955,0.0495,9.0,3776.0,-1.42022
TOI-1468 b,TOI-1468,683.5,1.401,0.02107,3.04,3376.0,-1.7921
TOI-1468 c,TOI-1468,338.1,2.126,0.08608,4.1,3376.0,-1.7921
TOI-1470 b,TOI-1470,734.0,2.18,0.0285,7.32,3709.0,-1.42481
TOI-1470 c,TOI-1470,373.0,2.47,0.106,7.24,3709.0,-1.42481
TOI-1472 b,TOI-1472,811.14,4.15964583,0.065,16.5,5133.0,-0.35556
TOI-1478 b,TOI-1478,918.0,11.88154,0.0903,270.47333,5597.0,-0.01278
TOI-150.01,TOI-150,1404.5,14.067295,0.07037,797.7533,6255.0,0.49651
TOI-157 b,TOI-157,1588.0,14.414774,0.03138,375.0394,5404.0,0.01995
TOI-1601 b,TOI-1601,1493.97,14.19902343,0.069,387.0,5982.0,0.74772
TOI-1601 b,TOI-1601,1619.0,13.887951,0.06864,314.6517,5948.0,0.73239
TOI-163 b,TOI-163,1669.0,16.690201,0.058,387.7526,6495.0,0.63649
TOI-1634 b,TOI-1634,920.0,1.749,0.0149,10.14,3472.0,-1.5784
TOI-1634 b,TOI-1634,924.0,1.79,0.01545,4.91,3550.0,-1.5391
TOI-1669 c,TOI-1669,1285.16,2.2963977,0.0376,13.0,5497.0,-0.03574
TOI-1685 b,TOI-1685,1052.0,1.459,0.011557,3.43,3461.0,-1.56703
TOI-1685 b,TOI-1685,1062.0,1.468,0.01138,3.03,3575.0,-1.51542
TOI-169 b,TOI-169,1715.0,12.172974,0.03524,251.40353,5880.0,0.25261
TOI-1691 b,TOI-1691,703.49,3.56505068,0.126,14.6,5642.0,-0.03058
TOI-1694 b,TOI-1694,943.19,5.3422266,0.045,31.3,5058.0,-0.41794
TOI-1695 b,TOI-1695,698.0,1.9,0.033548,6.36,3690.0,-1.3536
TOI-1696 b,TOI-1696,489.0,3.09,0.0229,48.8,3185.0,-2.14813
TOI-1696 b,TOI-1696,533.0,3.24,0.0235,56.6,3168.0,-2.12494
TOI-1710 b,TOI-1710,602.99,5.20315158,0.166,22.4,5684.0,-0.06349
TOI-1710 b,TOI-1710,730.0,5.15,0.164,18.4,5730.0,-0.04818
TOI-172 b,TOI-172,1198.0,10.816685,0.0914,1722.6386,5645.0,0.4609
TOI-1723 b,TOI-1723,782.98,3.29206019,0.114,10.4,5743.0,0.06446
TOI-1728 b,TOI-1728,767.0,5.05,0.0391,26.78,3980.0,-1.05552
TOI-1736 b,TOI-1736,1076.0,2.44,0.074,12.8,5807.0,0.25
TOI-1736 b,TOI-1736,1099.79,3.18175535,0.073,12.3,5636.0,0.27068
TOI-1742 b,TOI-1742,694.09,2.36507598,0.154,9.7,5815.0,0.12123
TOI-1751 b,TOI-1751,651.64,2.9507845,0.215,19.5,5970.0,0.29732
TOI-1753 b,TOI-1753,1005.43,2.47852533,0.059,16.6,5621.0,-0.06956
TOI-1758 b,TOI-1758,551.44,3.5573684,0.138,6.9,5151.0,-0.37263
TOI-1759 b,TOI-1759,443.0,3.14,0.1177,10.8,4065.0,-1.05715
TOI-1759 b,TOI-1759,387.96,3.12029598,0.115,15.0,3930.0,-1.14874
TOI-1759 b,TOI-1759,433.0,3.06,0.1176,6.8,3972.0,-1.05061
TOI-1775 b,TOI-1775,707.89,8.04728896,0.08,96.0,5284.0,-0.31605
TOI-1776 b,TOI-1776,1269.21,1.21612741,0.0378,1.4,5785.0,-0.05306
TOI-178 b,TOI-178,1040.0,1.152,0.02607,1.5,4316.0,-0.87943
TOI-178 c,TOI-178,873.0,1.669,0.037,4.77,4316.0,-0.87943
TOI-178 d,TOI-178,690.0,2.572,0.0592,3.01,4316.0,-0.87943
TOI-178 e,TOI-178,600.0,2.207,0.0783,3.86,4316.0,-0.87943
TOI-178 f,TOI-178,521.0,2.287,0.1039,7.72,4316.0,-0.87943
TOI-178 g,TOI-178,470.0,2.87,0.1275,3.94,4316.0,-0.87943
TOI-1789 b,TOI-1789,1927.0,16.14093221,0.04882,222.4798849,5991.0,0.7364
TOI-1794 b,TOI-1794,992.91,3.29701268,0.082,8.7,5631.0,0.19728
TOI-1798.01,TOI-1798,734.31,2.38506569,0.074,6.5,5106.0,-0.41567
TOI-1798.02,TOI-1798,1935.83,1.39939037,0.0107,5.6,5106.0,-0.41567
TOI-1799 b,TOI-1799,922.72,1.42238884,0.071,4.0,5698.0,-0.06198
TOI-1801 b,TOI-1801,431.03,1.96061882,0.075,16.0,3748.0,-1.3279
TOI-1803 b,TOI-1803,747.0,2.99,0.06,10.32,4687.0,-0.65365
TOI-1803 c,TOI-1803,588.0,4.29,0.097,8.0,4687.0,-0.65365
TOI-1807 b,TOI-1807,1694.1,1.49681583,0.0122,2.44,4914.0,-0.53313
TOI-181 b,TOI-181,895.1,6.9559,0.0539,46.1687,4994.0,-0.52578
TOI-1811 b,TOI-1811,962.2,11.14172682,0.04389,308.9292116,4766.0,-0.56019
TOI-1823 b,TOI-1823,423.63,7.5406241,0.212,67.4,4927.0,-0.46092
TOI-1824 b,TOI-1824,528.67,2.7438269,0.151,16.0,5165.0,-0.37263
TOI-1836 b,TOI-1836,889.51,8.28055741,0.157,24.7,6237.0,0.56984
TOI-1836 b,TOI-1836,966.0,8.00321222,0.1597,38.45723725,6380.0,0.5682
TOI-1836 c,TOI-1836,2007.6,2.59987579,0.03089,8.0,6237.0,0.56984
TOI-1842 b,TOI-1842,1199.55,12.3485023,0.1,89.4,6039.0,0.69504
TOI-1853 b,TOI-1853,1479.0,3.46,0.0213,73.2,4985.0,-0.43227
TOI-1855 b,TOI-1855,1701.0,18.49481816,0.02398,360.09958513,5359.0,-0.09474
TOI-1898 b,TOI-1898,674.54,9.39553231,0.269,129.0,6241.0,0.55121
TOI-1937 A b,TOI-1937 A,2097.0,13.97759893,0.01932,638.83509807,5814.0,0.0799
TOI-1994 b,TOI-1994,2290.0,13.67495645,0.0613,7024.0077947,7700.0,1.22272
TOI-2000 b,TOI-2000,1488.0,2.7,0.04271,11.0,5611.0,0.05956
TOI-2000 c,TOI-2000,1038.0,8.14,0.0878,81.7,5611.0,0.05956
TOI-201 b,TOI-201,759.0,11.298672,0.3,133.4886,6394.0,0.41497
TOI-2010 b,TOI-2010,400.2,11.81426566,0.5516,408.7273314,5929.0,0.11361
TOI-2015 b,TOI-2015,512.0,3.39,0.0301,16.4,3194.0,-1.97881
TOI-2015 b,TOI-2015,530.9,3.309,0.029322,9.2,3297.0,-1.49214
TOI-2019 b,TOI-2019,917.46,5.33275337,0.128,34.4,5626.0,0.44075
TOI-2025 b,TOI-2025,1166.0,11.89272852,0.0892,1144.1822652,5977.0,0.38739
TOI-2031 A b,TOI-2031 A,1358.0,14.20177855,0.066,254.2627256,6490.0,0.39094
TOI-2076 b,TOI-2076,687.68,2.77062554,0.088,16.1,5192.0,-0.37779
TOI-2076 c,TOI-2076,543.16,3.69441587,0.142,55.0,5192.0,-0.37779
TOI-2076 d,TOI-2076,457.68,3.43087751,0.199,29.0,5192.0,-0.37779
TOI-2088 b,TOI-2088,300.33,3.6831179,0.472,37.0,5081.0,-0.36151
TOI-2095 b,TOI-2095,347.0,1.25,0.101,4.1,3759.0,-1.45892
TOI-2095 c,TOI-2095,297.0,1.33,0.137,7.4,3759.0,-1.45892
TOI-2107 b,TOI-2107,1397.0,13.57407563,0.03515,263.79757781,5627.0,-0.10458
TOI-2109 b,TOI-2109,3646.0,15.098497,0.01791,1595.49860314,6540.0,0.67302
TOI-2120 b,TOI-2120,384.0,2.122,0.0377,6.8,3131.0,-2.28651
TOI-2128 b,TOI-2128,780.53,2.08874836,0.127,4.5,5968.0,0.15625
TOI-2134 b,TOI-2134,666.0,2.69,0.078,9.13,4580.0,-0.7167
TOI-2134 c,TOI-2134,306.0,7.27,0.371,41.89,4580.0,-0.7167
TOI-2136 b,TOI-2136,403.0,2.09,0.054,15.0,3366.0,-1.88606
TOI-2136 b,TOI-2136,395.0,2.19,0.057,6.37,3342.0,-1.88606
TOI-2136 b,TOI-2136,378.0,2.2,0.0533,4.7,3373.0,-1.86328
